"","long_start","long_end","lat_start","lat_end","center_long","center_lat","area","depth","lbl","tif","tab","long_dir","lat_dir","width","corrupt"
"17646",32.4209,22.362512,-19.78854,-69.76391,27.391706,-44.776225,502.6716619,-32768,"Radar_Images/tiff/s_0459xx/s_04595001_tiff.lbl","Radar_Images/tiff/s_0459xx/s_04595001_tiff.tif","Radar_Images/geom/s_0459xx/s_04595001_geom.tab","decreasing","decreasing",6447,"good"
"15006",282.27383,121.2085,71.855064,78.016002,201.741165,74.935533,992.3135121,0.09656822681,"Radar_Images/tiff/s_0380xx/s_03808703_tiff.lbl","Radar_Images/tiff/s_0380xx/s_03808703_tiff.tif","Radar_Images/geom/s_0380xx/s_03808703_geom.tab","decreasing","increasing",3806,"good"
"18893",316.0498,312.71715,-3.568461,-29.71354,314.383475,-16.6410005,87.13239753,-32768,"Radar_Images/tiff/s_0480xx/s_04802301_tiff.lbl","Radar_Images/tiff/s_0480xx/s_04802301_tiff.tif","Radar_Images/geom/s_0480xx/s_04802301_geom.tab","decreasing","decreasing",3372,"good"
"3622",51.527748,42.353683,-75.93277,-51.65411,46.9407155,-63.79344,222.734005,0.237665236,"Radar_Images/tiff/s_0074xx/s_00745201_tiff.lbl","Radar_Images/tiff/s_0074xx/s_00745201_tiff.tif","Radar_Images/geom/s_0074xx/s_00745201_geom.tab","decreasing","increasing",3143,"good"
"6710",236.12487,231.87388,-19.79588,14.440147,233.999375,-2.6778665,145.5370084,-32768,"Radar_Images/tiff/s_0170xx/s_01704401_tiff.lbl","Radar_Images/tiff/s_0170xx/s_01704401_tiff.tif","Radar_Images/geom/s_0170xx/s_01704401_geom.tab","decreasing","increasing",4416,"good"
"12790",90.502617,81.346495,0.0063234,-59.68362,85.924556,-29.8386483,546.5284039,-32768,"Radar_Images/tiff/s_0349xx/s_03495001_tiff.lbl","Radar_Images/tiff/s_0349xx/s_03495001_tiff.tif","Radar_Images/geom/s_0349xx/s_03495001_geom.tab","decreasing","decreasing",7698,"good"
"4252",285.90463,276.13606,18.593943,68.365441,281.020345,43.479692,486.1963622,-32768,"Radar_Images/tiff/s_0080xx/s_00803601_tiff.lbl","Radar_Images/tiff/s_0080xx/s_00803601_tiff.tif","Radar_Images/geom/s_0080xx/s_00803601_geom.tab","decreasing","increasing",6420,"good"
"11721",228.24179,223.79327,34.692902,0.4998181,226.01753,17.59636005,152.1086176,-32768,"Radar_Images/tiff/s_0320xx/s_03209602_tiff.lbl","Radar_Images/tiff/s_0320xx/s_03209602_tiff.tif","Radar_Images/geom/s_0320xx/s_03209602_geom.tab","decreasing","decreasing",4410,"good"
"2475",295.51242,128.64201,69.972733,72.891651,212.077215,71.432192,487.0810434,0.09904234856,"Radar_Images/tiff/s_0062xx/s_00622902_tiff.lbl","Radar_Images/tiff/s_0062xx/s_00622902_tiff.tif","Radar_Images/geom/s_0062xx/s_00622902_geom.tab","decreasing","increasing",4722,"good"
"14546",325.62034,163.73593,-71.8799,-77.94837,244.678135,-74.914135,982.3906856,0.06323120743,"Radar_Images/tiff/s_0373xx/s_03735401_tiff.lbl","Radar_Images/tiff/s_0373xx/s_03735401_tiff.tif","Radar_Images/geom/s_0373xx/s_03735401_geom.tab","decreasing","decreasing",3816,"good"
