"","ice","mean","sd","skew","kurt","color_hist1","color_hist2","color_hist3","color_hist4","color_hist5","color_hist6","color_hist7","color_hist8","color_hist9","color_hist10","color_hist11","color_hist12","color_hist13","color_hist14","color_hist15","color_hist16","color_hist17","color_hist18","color_hist19","color_hist20","color_hist21","color_hist22","color_hist23","color_hist24","color_hist25","glcm1","glcm2","glcm3","glcm4","glcm5","glcm6","glcm7","glcm8","glcm9","glcm10","glcm11","glcm12","glcm13","glcm14","glcm15","glcm16","glcm17","glcm18","glcm19","glcm20","glcm21","glcm22","glcm23","glcm24","glcm25","glcm26","glcm27","glcm28","glcm29","glcm30","glcm31","glcm32","glcm33","glcm34","glcm35","glcm36","glcm37","glcm38","glcm39","glcm40","glcm41","glcm42","glcm43","glcm44","glcm45","glcm46","glcm47","glcm48","glcm49","glcm50","glcm51","glcm52","glcm53","glcm54","glcm55","glcm56","glcm57","glcm58","glcm59","glcm60","glcm61","glcm62","glcm63","glcm64","glcm65","glcm66","glcm67","glcm68","glcm69","glcm70","glcm71","glcm72","glcm73","glcm74","glcm75","glcm76","glcm77","glcm78","glcm79","glcm80","glcm81","glcm82","glcm83","glcm84","glcm85","glcm86","glcm87","glcm88","glcm89","glcm90","glcm91","glcm92","glcm93","glcm94","glcm95","glcm96"
"1","yes",23.3246638888889,18.1016802165463,2.94468915117739,23.9325586618532,0.0230442175018155,0.0213516339869281,0.0238907316630356,0.0178783315177923,0.00871330791575889,0.001932616194626,0.000364642338416848,0.000135321350762527,9.59150326797385e-05,8.49945533769063e-05,6.59132171387074e-05,6.0775236020334e-05,5.63634713144517e-05,5.24963689179376e-05,5.3794480755265e-05,4.54339143064634e-05,4.17483660130719e-05,3.70007262164124e-05,3.19172113289761e-05,3.03013798111837e-05,2.22857661583152e-05,1.69480755265069e-05,1.28631082062454e-05,8.79629629629631e-06,1.08660130718954e-05,0.107366793863082,0.0450242614427419,9.22849715838633,110.422712377383,14.552945300408,30.6599620128146,14.706399486326,249.396698279389,0.469252166543165,0.123196413351961,0.048414498660192,-0.0848843742463674,3.38557607393108,3.20779596687128,11.1229422059967,220.70613796573,1.41874804659919,0.527302997282048,2.36249256690281,18.2236525591695,1.92163870923177,0.20111537281595,-0.820463692748933,0.949930731282146,0.160243839584838,0.0423155190531263,1.81341293058822,6.80741200570076,-0.0738882489739059,0.368343628050439,0.235246567228965,0.989297015700715,0.107370058474941,0.0393675908460334,9.43006439487456,101.795746448667,14.5911562159098,26.4000942963833,11.8419657292381,152.852983999601,0.469227627080553,0.0490125394498122,-0.816416017042704,3.40524792220838,3.38648295995456,2.05368942491349,9.9287865372077,127.806743580919,1.41889302974157,0.278686773075186,5.25034573439383,47.5996503236202,3.03809619065147,0.185490956433203,2.10221628904667,11.0126787116545,0.0587968830697293,0.0108276201175619,0.015115729467356,2.26684440733256,0.0266696083311224,0.15149832098552,1.15585088005061,4.82185248228485,0.141763117283951,0.113682984920069,1.19558672624519,0.205439030643158,61.3713897328318,105.048943225742,1.51914962642556,0.456520769754383,0.650129326715154,0.252988475791654,-0.908933280996909,-0.159447470227706,76.5753086419753,135.446930231382,1.62128409820492,1.42082440310535,3.71234567901235,5.63242645087509,1.44486575335053,0.64730023880099,1.28043523157602,0.568351675769593,-0.150993345835099,-0.507674432402805,0.355418381344307,0.212795549842332,1.33777331709388,1.75202702329796,0.264747906847937,0.421786065722609,-0.708284091857882,-0.513150233764033
"2","yes",43.6168712962963,22.5658480794799,1.73800896768107,8.9361832039593,0.0040679012345679,0.00733012890341322,0.0142318173565723,0.0205141067538126,0.022995642701525,0.0142491648511256,0.00693450435729848,0.00303044662309368,0.00168296114742193,0.00116565904139434,0.000643418663761802,0.000380301379811184,0.000226606753812636,0.000142819535221496,0.000105555555555555,6.72476397966595e-05,5.41303558460422e-05,4.30555555555555e-05,3.52305737109659e-05,3.16267247639796e-05,2.31844589687727e-05,2.09876543209877e-05,1.78649237472767e-05,1.57044299201162e-05,2.91485112563543e-05,0.186688591970933,0.0643375963193163,4.00414732909607,23.8780572337607,39.222736149469,42.4178018480755,8.21427943410035,100.11328967604,0.447856507585385,0.12360842145622,0.098900196138675,-0.117550191018722,3.94739630748543,3.63631893029218,11.7986070492726,262.112669822089,1.53413729910407,0.563832903923902,2.25964167316276,18.3882464153213,1.9524099218814,0.193069968152486,-0.89879304029561,1.12286201294014,0.154412032200503,0.0397678557386311,1.87747716243274,7.18323249121382,-0.0903083963664202,0.366186847086739,0.438739607135833,11.2878193832636,0.186859341864802,0.060381329128526,3.72175942387039,17.7938965795041,39.334703971988,38.3013889268154,6.3150994579255,55.7796649568918,0.447810547430308,0.0473973098922207,-0.507008965040639,2.05128540636727,3.94915849179167,2.19681488283982,11.370609905677,179.573368514477,1.53442091938783,0.278704718674046,5.13679755841036,53.4983049562061,3.14056471637828,0.184419142199359,1.369668090567,5.66603761398001,0.0538678497629772,0.0102810774501581,0.130637715502303,1.51317251035313,0.00839139050505416,0.158752681442591,1.29027961886751,4.98700779514127,0.179378858024691,0.174498108069026,1.24363222764985,0.2852675271048,81.0787487809714,133.106588081694,1.73745152306562,1.91404446379294,0.533984645665545,0.304908609072537,-0.137840653427297,-1.23652077112461,38.5382716049383,58.2888581270343,1.36215813545559,0.493216566216023,3.20493827160494,3.63652798393555,1.02672196783491,-0.313105883184426,1.45511572366884,0.684723933752696,-0.650684681756359,-0.677275418836203,0.326611796982167,0.261645234353363,1.37272054242888,0.841986719546707,0.429555834196208,0.558905729893357,2.35177636122621,18.2877782888747
"3","yes",28.9691941666667,19.6603464522807,2.46135550787417,17.1203621544616,0.0149483841684822,0.0169505991285403,0.0228774963689179,0.0216026234567901,0.0141992556281772,0.00459621459694989,0.00121449709513435,0.000417302106027596,0.000252450980392157,0.000203204429920116,0.000140259622367466,0.000107461873638344,8.95878721859114e-05,7.46368917937546e-05,6.93899782135075e-05,5.42302106027597e-05,4.82116920842412e-05,4.21205519244734e-05,3.76089324618737e-05,3.49673202614379e-05,2.50907770515614e-05,1.96078431372549e-05,1.39524328249818e-05,9.35003631082063e-06,1.07116920842411e-05,0.129364411648582,0.0517294413937224,6.98777666198085,66.708736682695,20.3339130880417,34.2943943517473,12.2805499278879,183.132093051924,0.448835887211355,0.127192771950059,0.0920901463785628,-0.150198714908656,3.8317152039399,3.46524868874374,10.9751687028327,231.528951443718,1.51911200954641,0.568827649907557,2.07914143259838,15.8938387773584,1.93818022164178,0.198969339176638,-0.876411431177967,1.07680451191889,0.157049136780813,0.0412866032262287,1.87141541773802,7.26166480211856,-0.089229373264815,0.380790004908031,0.312085504967154,2.38740983910726,0.129396726965063,0.0465235821278344,7.17938756541593,61.4326664739124,20.3826030824862,30.3668143292205,10.0339165148848,114.448834760549,0.448833137580403,0.048851750238262,-0.473301480277518,1.80059884329405,3.83233834191719,2.04631635805004,10.3635158088097,146.97497352823,1.51917569574538,0.275790788659318,4.55796691225732,42.9570633823501,3.13797263401305,0.179604408955638,1.34396063505391,6.35911173186151,0.0533405985612869,0.0100307343949107,0.237343262645046,1.62690100971381,0.0249262609590426,0.157773603118832,0.935990050804881,3.70299997520064,0.116907793209877,0.107251511153413,1.31869882802235,0.406948290196568,45.0243133754233,81.815184919801,1.79486734466932,1.96924233247566,0.653694853889846,0.309749099791052,-0.724174082819368,-0.758804857562419,58.987037037037,104.723855476795,1.79712257681358,2.34897370630608,3.36851851851852,4.96143448272307,1.41446780327057,0.712048053304006,1.0979996754933,0.737069149874187,0.0507515143820197,-1.19455194561847,0.462688614540466,0.303051530320475,0.589465602664752,-0.930302702468375,0.116179368858248,0.522280476754479,-0.255400856323725,-1.18166254046391
"4","no",42.2054300925926,19.0053637939496,1.47197861539514,9.58102546337719,0.00356429738562092,0.00676087509077705,0.0138813725490196,0.0213200435729848,0.0254691811909949,0.0162396423384169,0.00717746005809732,0.0019801107480029,0.00050610929557008,0.000273556644880174,0.000178159041394336,0.000141948075526507,0.000117374727668845,9.47076978939725e-05,8.74999999999999e-05,6.36074800290487e-05,5.19517066085694e-05,4.10493827160493e-05,3.12091503267974e-05,2.2939360929557e-05,1.41702977487291e-05,9.26833696441541e-06,5.63725490196078e-06,3.26797385620915e-06,3.77632534495279e-06,0.181082280643078,0.0429210207058379,6.53929875252439,61.9585499151713,35.0759648530365,29.0490840860649,11.0025483320412,159.647810520911,0.441370296101414,0.126834109411018,0.101038373768847,-0.165152773302314,4.11422544423471,3.39481532765161,6.80194002631097,108.13698421907,1.56939349696652,0.58310729222627,1.54820691944451,7.74562094921255,1.95139788168626,0.195648284352204,-0.909835535641082,1.13090910024357,0.15461370832033,0.0403044471639595,1.88584406371785,7.14193470191193,-0.100323061787461,0.374581911585137,0.369554638477671,4.18935254069203,0.181121672048717,0.0372335876100035,7.31293205922966,66.4086199432669,35.1244554964091,25.3798513587531,9.91496829554541,119.525595016065,0.441343208441544,0.0493609166559939,-0.452433083579175,1.38444634540863,4.11552664623741,1.88083445601501,6.85837514556001,77.8519037434485,1.5695989353799,0.277834607590764,3.08290703393636,20.7906841982431,3.16376597743301,0.192081341944576,1.37757405386481,5.21862420165684,0.0526508319233398,0.0103791281714416,0.123778071902679,1.57054875238232,0.00605226409821429,0.159622540831128,0.998946381610011,3.37648493246232,0.135040509259259,0.0908115581865657,1.63716239026291,1.79504389504292,40.3030958136413,68.0182488269108,2.19919057827864,3.9435101838424,0.613817949929487,0.251660511742473,-0.730183524302718,-0.381947190860838,28.0956790123457,54.8768269628575,2.49771925294105,6.33907435844572,2.40185185185185,3.28206539212039,1.75882369171243,2.37738191949272,1.32762401367537,0.582229832485274,-0.0692930629885653,-0.812087001334937,0.348422496570645,0.210686620229921,1.06649563919449,0.771547322065956,0.0660169090940137,0.651589690933538,4.64941211676627,38.0135939134273
"5","yes",43.1401967592593,19.0733240062056,0.999382848931524,5.78770840941191,0.0035485929557008,0.00654906499636892,0.0132643155410312,0.0203365014524328,0.0246212962962963,0.0164742374727669,0.00814765795206972,0.00293996005809731,0.00101253631082062,0.000440640885984023,0.000193999636891794,0.000125027233115468,9.27469135802469e-05,7.08151779230211e-05,6.21641249092229e-05,4.2683369644154e-05,3.45769789397241e-05,2.61256354393609e-05,2.06063907044299e-05,1.60221496005809e-05,9.26833696441541e-06,5.21968046477851e-06,2.82316630355846e-06,1.65214233841685e-06,6.80827886710239e-07,0.187584657479389,0.044291133207133,4.42159086943429,34.1614313904112,37.5216073977266,26.7442851093781,9.28500459682432,130.777457730366,0.43565894427792,0.12835766042339,0.121085883600524,-0.178238217523973,4.22909303014198,3.40626053267096,7.2996399683587,133.525525764711,1.59717638042011,0.591188292970517,1.45480448573964,7.61453829063446,1.95258736253166,0.196242222253089,-0.929654642889137,1.19394303201102,0.154387855842952,0.0404341801562009,1.92180110238308,7.39577950609201,-0.109098092286329,0.378486509062381,0.333787658558152,2.77591634611493,0.187670207366858,0.0388714130808499,4.56996606499899,30.0326529455817,37.5850641380979,23.0562957024608,7.65839559930986,81.457311183353,0.435648409299607,0.0483481130526168,-0.241317846745768,0.839815431084979,4.22954496699854,1.79174417046701,8.05068842915801,109.852021175441,1.59725982782842,0.26355416559728,2.91847210995889,22.7764515703173,3.18738180636498,0.17868354158231,0.976945123539264,4.33969645064533,0.0512658366391721,0.0098989502253054,0.397771390873066,1.61463715058529,0.000717128864880942,0.159646234869917,0.928952276132076,3.33096102166015,0.18130787037037,0.1650625717197,1.24856449985283,0.377850098591416,76.2875902884945,119.710266717412,1.69667686974716,1.79053969871645,0.561548770634731,0.285904502861642,-0.342951564270011,-1.26309360711328,39,67.1229676981463,2.11735578209051,4.03677084317508,3.05185185185185,3.64006489211216,1.30160081285739,0.74335323616987,1.562245604133,0.571421935513044,-0.518689783401309,-0.689929113426446,0.276680384087791,0.189930640346481,1.51235339185687,2.19027467681791,0.375243067692222,0.443125591087593,-0.606115363060052,-0.682465769291121
"6","yes",45.2851159259259,18.5863955316311,0.973621780168192,6.00667256564856,0.0025442265795207,0.0051882443718228,0.0113790577342048,0.0190544299201162,0.0255722948438635,0.0189576615831518,0.00996102033405955,0.00331194625998547,0.000875027233115468,0.000385566448801743,0.000223883442265795,0.000161919026870007,0.000119353667392883,8.54665940450255e-05,6.81917211328975e-05,4.46895424836602e-05,3.42683369644154e-05,2.54901960784313e-05,1.69389978213508e-05,1.22458242556282e-05,6.49055918663763e-06,4.20297748729122e-06,2.64161220043573e-06,1.86092955700799e-06,2.09694989106753e-06,0.193139727847046,0.0404002774363284,4.90661702935914,41.1365168998769,39.3918145296539,25.2583182942981,9.61314653355755,141.068174531435,0.426980361384124,0.128385141612154,0.137736415352155,-0.177146188141116,4.51585617286635,3.54551495957892,5.26739424198897,69.2043371498752,1.6501405705122,0.613766813359151,1.33521933599208,5.47582444785751,1.96651681877166,0.192047734100287,-0.960159749216118,1.25597083009825,0.151717120976359,0.0390255238424517,1.93427694303198,7.68842098225,-0.0876102542461926,0.383387810174919,0.34122057305273,4.8138735293719,0.193176551028616,0.0332712992915448,5.70453851154385,42.500655864811,39.4428265687268,20.8875323941773,8.16714704837499,87.39725298592,0.426964297267178,0.0508878502961164,-0.421566888199984,1.24990419155475,4.51689105389183,2.00930278221289,6.85549437122114,81.0468661664968,1.65027996814123,0.297637754235272,2.99860648225812,20.7955891773269,3.25287154779295,0.19191743584782,1.00250257321134,3.44206823295338,0.0479489293558739,0.00975612776024305,0.273746012259867,1.31401299287712,0.0374815999918815,0.161459896897977,0.749947170268283,2.3676551579463,0.13539737654321,0.100298180040153,1.11304788580411,-0.123437488529081,44.8476457007137,66.979927562364,1.45461881890473,0.791921506403372,0.52595517142542,0.236032872248564,-0.543509090701516,-0.743552539441417,46.7765432098765,74.0376006728041,1.62335519266491,1.77337879648062,3.38395061728395,3.9193596048348,1.1428152711444,-0.0092382352544651,1.62734991687733,0.418686441082571,-0.44539472934163,0.0547819264917528,0.23278463648834,0.120822450781106,2.15662892938282,7.04283266284289,0.0332538101797488,0.394036773100587,0.181632325724371,-0.506326953585584
"7","yes",28.7279786111111,18.9672966256674,2.37987177283718,17.2912916013897,0.014685639070443,0.0170706154684096,0.0231875907770516,0.0219080882352941,0.0143142792302106,0.00447116920842411,0.00104973674655047,0.000315758896151053,0.000190386710239651,0.0001579883805374,0.000116911764705882,9.83569353667393e-05,8.22893972403776e-05,6.93264342774147e-05,6.4370007262164e-05,5.07443718228033e-05,4.36002178649238e-05,3.72185911401597e-05,3.12545388525781e-05,2.779593318809e-05,2.0343137254902e-05,1.55047204066812e-05,1.17647058823529e-05,8.04284676833697e-06,1.0439360929557e-05,0.128395243335039,0.046931435872954,7.64875387434622,81.0599619210516,19.6857765012468,31.1962200585453,13.3913896336272,220.850259766881,0.449992469433443,0.125142053812265,0.0875712176836201,-0.116064720483741,3.84993747258734,3.40375806011105,8.87408002268869,162.741365871218,1.51770706854051,0.564239320631137,1.91678351733488,12.0370916142913,1.94559556927088,0.195873702279728,-0.885152862626689,1.09086481045767,0.155638518828387,0.0404130123117123,1.86957915173093,7.29544077319351,-0.0773304730099809,0.374798979257055,0.249435066441398,1.12139739979184,0.128393239353541,0.0410198211601365,8.07625980266533,78.7777827283829,19.7218269937209,27.0523220210084,11.1190727573423,143.17623450244,0.449979263834874,0.0493001459429932,-0.617527971413582,2.04618452661011,3.85067232811431,2.03775743637383,8.06829176509166,92.9204080481388,1.51780212284962,0.285419335918632,3.98610959543343,30.1126583742551,3.14041853802357,0.191042917326717,1.67055034398955,6.97204717877214,0.0533949309763028,0.0102548889458057,0.0250238786301741,1.78500974576905,0.033209535184685,0.159340373709163,1.06908092325624,3.73267161984219,0.14110725308642,0.126017755772476,1.23107268571696,0.0872149449432666,65.7948534553434,116.369009852595,1.52905251267061,0.485515876041688,0.606234213706759,0.272590454010696,-0.783768492625238,-0.48382795064038,81.8765432098765,143.2052906779,1.5130987180784,0.825015322250159,3.98024691358025,5.88969292328639,1.40425452817348,0.473944057432257,1.32777937526759,0.555164002890808,-0.112076395575121,-0.548609581233575,0.341152263374486,0.201076445374305,1.27607200799028,1.68740893264357,0.21157111194062,0.499865311128706,-0.254529280137357,-1.15740684886741
"8","yes",30.909087037037,21.0226504922095,2.06711299297124,10.3278000501271,0.0135139433551198,0.0160579429920116,0.0221577795933188,0.0214070896877269,0.0147645243282498,0.00535881445170661,0.00181643064633261,0.000820098039215686,0.000521141975308642,0.000403576615831518,0.000272893972403777,0.000219662309368192,0.000174210239651416,0.000141521423384169,0.000122140522875817,8.75726216412492e-05,6.51506899055919e-05,4.66321713870733e-05,3.33877995642702e-05,2.50272331154684e-05,1.35257806826434e-05,8.16085693536675e-06,4.77487291212781e-06,2.19680464778504e-06,1.01670297748729e-06,0.137875893613109,0.0582319612064796,4.72577013996134,29.9620031918346,23.4075581883282,34.1841395455779,8.20794130091442,88.0113494560739,0.442274031175699,0.125448919656216,0.0686952976809926,-0.104044854567596,4.15216231841246,3.99517439658042,9.1295628618842,167.590668692078,1.56802266706995,0.606423000620097,2.20839316201865,14.0237743726961,1.95846890848989,0.191992742484215,-0.90719385228001,1.12827014711083,0.153195724608506,0.0391913907192262,1.87737665275673,7.29553055028541,-0.0737500901726422,0.373118905510098,0.284687946968094,2.61635539857479,0.137966142691984,0.053105022919598,4.73565715541185,26.992834767839,23.4858686394556,30.5112520875574,6.81856513118598,55.7419506409283,0.442199626620102,0.0536911120758924,-0.864053350585041,2.46457673180775,4.15422384749546,2.58885177525841,7.47081261312968,84.0552440396855,1.56845602662673,0.344957339077173,3.88518485633131,25.4300068062721,3.18093573704599,0.223162879174175,1.62889925308775,4.62529854526787,0.0515558806322568,0.0110899104698473,-0.192473370560122,1.34727060790542,0.0422128408611368,0.168315261062695,1.10014348010886,3.13532116963951,0.164525462962963,0.123708636939223,1.08527360459222,-0.138815699543855,60.8495212298525,90.4849524640159,1.55062745996444,1.02755292740726,0.599385352815402,0.282091572074704,-0.571058058163775,-0.948249970825914,38.237037037037,67.3273166714466,2.06412355470703,3.75817152372049,2.88641975308642,3.67963126710922,1.37756266005746,0.862505673046719,1.34217551233884,0.640989926087974,-0.078718970425537,-1.14973378987272,0.357475994513032,0.233397285273909,0.843672554892319,-0.146505211244132,0.123005568841419,0.388615905037272,0.045740715068221,-0.737435168550909
"9","no",22.3285186111111,20.0994399650806,2.81762521997571,16.8556196006562,0.0276431554103123,0.0220563725490196,0.0222801833696442,0.0149605846042121,0.00671070261437908,0.00170342229484386,0.000660965867828613,0.000434785766158315,0.000329802106027596,0.000289406318082789,0.000209522512708787,0.000167982933914306,0.000133051924473493,0.000106935366739288,9.2828612926652e-05,6.47603485838781e-05,5.08805374001453e-05,3.8435003631082e-05,2.95660856935367e-05,2.44462599854756e-05,1.65123456790124e-05,1.1837327523602e-05,8.68736383442264e-06,5.87327523602034e-06,8.51488743645605e-06,0.103601811276255,0.0548024586827455,6.15368234708384,51.2069558473737,14.8311186939048,32.4756304860608,11.3004339596965,169.096211594057,0.472471649809235,0.130107722170921,-0.0640860884933151,-0.0337222788042362,3.6351840927057,4.35163940235821,7.76728073721346,99.8184625047408,1.43321392057596,0.636432197267133,2.6472705702835,14.6112359871161,1.90342112851408,0.210753058466316,-0.781699290500788,0.816084308866403,0.16392944911145,0.0450018636378056,1.77307102113454,6.37135036277326,-0.0832842757377068,0.373974567864634,0.302834545174585,2.47091897370915,0.10365550444746,0.0498174246489145,6.25269367912317,48.7361205972283,14.8901903819769,29.0089974291599,9.70381213346522,118.721911275282,0.472434448045428,0.0605252943407196,-1.17745790106065,2.96367349913244,3.638280963662,2.91241256074906,5.45146399310268,39.479396923228,1.43360474649243,0.396806388942262,3.53856440981001,17.3075450146463,3.00413115499509,0.26466890385889,1.99838253813489,5.39518711676042,0.0614059409078769,0.0141216957905976,-0.470422846584355,1.47389715851342,0.0286227682624179,0.163310823069825,0.995189952769451,2.90887900983414,0.112336033950617,0.113972685511692,1.33990603163336,0.467836080327483,49.3111422733678,94.5251554021556,1.85346979152241,1.90640073362705,0.684769317131722,0.329202511643929,-0.611188513036519,-1.02830728545029,60.2623456790123,115.521779648076,2.0146920193075,2.99037616022751,3.25123456790123,5.0444655532539,1.55653724249104,1.24307882124681,0.948537478289222,0.873536200438351,0.152237013273699,-1.63230864539643,0.561316872427984,0.377552723397529,0.104580867295667,-1.76534008980488,0.157389446288037,0.529058061515945,0.0909218539870648,-1.20262171036345
"10","no",31.8237772222222,19.6745077608862,2.57798059386693,18.9858544930217,0.0108297567175018,0.0146509531590414,0.0220307189542484,0.0233450435729848,0.0174771968046478,0.00644839324618737,0.00167401960784314,0.000401652142338417,0.000200608206245461,0.000161501452432825,0.00011860929557008,0.000103567538126362,9.29284676833696e-05,8.06281771968047e-05,7.99655047204066e-05,6.24909222948439e-05,5.62726942628904e-05,4.76397966594044e-05,4.11220043572985e-05,3.83623819898329e-05,2.80228758169935e-05,2.20134350036311e-05,1.54684095860566e-05,1.21822803195352e-05,2.00980392156862e-05,0.14047035813522,0.0487105018286215,7.73104482453165,80.7866066632576,22.9814491713331,34.6485980831181,12.7313442377841,197.203335134176,0.458277009648263,0.125209583096334,0.0199489392947196,-0.0475388266082595,3.84973905022684,4.46203501058179,10.3064333826449,175.939794840294,1.49138975409547,0.610115191144105,2.89005187281247,20.3922925201667,1.93768680936986,0.198364426041386,-0.867587395400309,1.06090333060707,0.157274277963192,0.0414109648629743,1.87188562324829,7.24140128944329,-0.0841173851233143,0.366236039151151,0.318530918399297,3.51748214144492,0.140493330028862,0.0427423182153535,7.76869171568364,74.0406142642651,23.0285351193029,29.7576349226534,10.6317526034971,131.074067790242,0.458259068040447,0.0517404675908585,-0.987091202605345,3.50102715761339,3.85158446502901,2.83788191928602,7.57051914158532,76.4776054270004,1.49161433065216,0.345374978946408,4.63995824728689,32.8101383749744,3.08796908631252,0.208895761090275,2.01488810857829,8.12508796375949,0.0569122697603006,0.0113497868475599,-0.169817138056778,1.96727334876952,0.0148795800260028,0.16039079712718,1.27926856402019,4.4408934616566,0.123958333333333,0.0973235926252996,1.37351667574596,0.874044270161409,38.9833047330461,65.4147951756432,1.80644761315523,1.89605032778655,0.55843381907186,0.236731002848263,-0.172891050005783,-0.656009988771823,32.837037037037,60.0865600869526,1.95973733203811,2.85209434425418,2.65432098765432,3.3608811785835,1.60162982973448,1.52299337326606,1.45603876097767,0.570437555979485,-0.785693945500323,0.305252774799533,0.298216735253772,0.213665415086745,2.07093505595436,4.07702346930893,0.282849133987478,0.398178926115603,-0.0443429778641857,-1.05538081431485
