"","long_start","long_end","lat_start","lat_end","center_long","center_lat","area","depth","lbl","tif","tab","long_dir","lat_dir","width","corrupt"
"14024",215.39051,54.149035,-72.01912,-77.94021,134.7697725,-74.979665,954.7252852,0.044362612,"Radar_Images/tiff/s_0366xx/s_03664601_tiff.lbl","Radar_Images/tiff/s_0366xx/s_03664601_tiff.tif","Radar_Images/geom/s_0366xx/s_03664601_geom.tab","decreasing","decreasing",3796,"good"
"17981",115.61694,319.17457,74.885185,79.998079,37.395755,77.441632,799.8732549,0.148088142,"Radar_Images/tiff/s_0464xx/s_04648002_tiff.lbl","Radar_Images/tiff/s_0464xx/s_04648002_tiff.tif","Radar_Images/geom/s_0464xx/s_04648002_geom.tab","decreasing","increasing",3150,"good"
"19090",63.319854,258.8925,-71.88101,-73.88387,341.106177,-72.88244,329.3249702,0.052578561,"Radar_Images/tiff/s_0483xx/s_04833501_tiff.lbl","Radar_Images/tiff/s_0483xx/s_04833501_tiff.tif","Radar_Images/geom/s_0483xx/s_04833501_geom.tab","decreasing","decreasing",4342,"good"
"9876",347.68645,169.75339,-53.04616,-56.17,258.71992,-54.60808,555.8344102,0.67110765,"Radar_Images/tiff/s_0258xx/s_02585501_tiff.lbl","Radar_Images/tiff/s_0258xx/s_02585501_tiff.tif","Radar_Images/geom/s_0258xx/s_02585501_geom.tab","decreasing","decreasing",9064,"good"
"18383",239.7916,229.74512,71.922791,29.904683,234.76836,50.913737,422.1340817,-32768,"Radar_Images/tiff/s_0470xx/s_04707603_tiff.lbl","Radar_Images/tiff/s_0470xx/s_04707603_tiff.tif","Radar_Images/geom/s_0470xx/s_04707603_geom.tab","decreasing","decreasing",5424,"good"
"18736",230.81271,66.148453,71.986725,73.79907,148.4805815,72.8928975,298.4284429,0.105472252,"Radar_Images/tiff/s_0476xx/s_04762301_tiff.lbl","Radar_Images/tiff/s_0476xx/s_04762301_tiff.tif","Radar_Images/geom/s_0476xx/s_04762301_geom.tab","decreasing","increasing",4340,"good"
"23705",35.600379,25.497886,-19.7802,-69.75209,30.5491325,-44.766145,504.8406689,-32768,"Radar_Images/tiff/s_0616xx/s_06164201_tiff.lbl","Radar_Images/tiff/s_0616xx/s_06164201_tiff.tif","Radar_Images/geom/s_0616xx/s_06164201_geom.tab","decreasing","decreasing",6447,"good"
"19987",264.45917,254.27324,-19.78083,-69.75383,259.366205,-44.76733,509.0214799,-32768,"Radar_Images/tiff/s_0504xx/s_05045101_tiff.lbl","Radar_Images/tiff/s_0504xx/s_05045101_tiff.tif","Radar_Images/geom/s_0504xx/s_05045101_geom.tab","decreasing","decreasing",6448,"good"
"10811",199.69661,194.56038,30.520737,-10.38333,197.128495,10.0687035,210.092696,-32768,"Radar_Images/tiff/s_0268xx/s_02686201_tiff.lbl","Radar_Images/tiff/s_0268xx/s_02686201_tiff.tif","Radar_Images/geom/s_0268xx/s_02686201_geom.tab","decreasing","decreasing",5275,"good"
"21852",340.4513,287.18291,-86.79137,-61.97296,313.817105,-74.382165,1322.036743,0.045275237,"Radar_Images/tiff/s_0564xx/s_05648301_tiff.lbl","Radar_Images/tiff/s_0564xx/s_05648301_tiff.tif","Radar_Images/geom/s_0564xx/s_05648301_geom.tab","decreasing","increasing",3358,"good"
